2013,1,3,nan
2013,1,4,nan
2013,1,7,nan
2013,1,8,nan
2013,1,9,nan
2013,1,10,nan
2013,1,11,nan
2013,1,14,nan
2013,1,15,nan
2013,1,16,nan
2013,1,17,nan
2013,1,18,nan
2013,1,22,nan
2013,1,23,nan
2013,1,24,nan
2013,1,25,nan
2013,1,28,nan
2013,1,29,nan
2013,1,30,nan
2013,1,31,nan
2013,2,1,nan
2013,2,4,nan
2013,2,5,nan
2013,2,6,nan
2013,2,7,nan
2013,2,8,nan
2013,2,11,nan
2013,2,12,nan
2013,2,13,nan
2013,2,14,nan
2013,2,15,nan
2013,2,19,nan
2013,2,20,nan
2013,2,21,nan
2013,2,22,nan
2013,2,25,nan
2013,2,26,nan
2013,2,27,nan
2013,2,28,nan
2013,3,1,nan
2013,3,4,nan
2013,3,5,nan
2013,3,6,nan
2013,3,7,nan
2013,3,8,nan
2013,3,11,nan
2013,3,12,nan
2013,3,13,nan
2013,3,14,nan
2013,3,15,nan
2013,3,18,nan
2013,3,19,nan
2013,3,20,nan
2013,3,21,nan
2013,3,22,nan
2013,3,25,nan
2013,3,26,nan
2013,3,27,nan
2013,3,28,nan
2013,4,1,nan
2013,4,2,nan
2013,4,3,nan
2013,4,4,nan
2013,4,5,nan
2013,4,8,nan
2013,4,9,nan
2013,4,10,nan
2013,4,11,nan
2013,4,12,nan
2013,4,15,nan
2013,4,16,nan
2013,4,17,nan
2013,4,18,nan
2013,4,19,nan
2013,4,22,nan
2013,4,23,nan
2013,4,24,nan
2013,4,25,nan
2013,4,26,nan
2013,4,29,nan
2013,4,30,nan
2013,5,1,nan
2013,5,2,nan
2013,5,3,nan
2013,5,6,nan
2013,5,7,nan
2013,5,8,nan
2013,5,9,nan
2013,5,10,nan
2013,5,13,nan
2013,5,14,nan
2013,5,15,nan
2013,5,16,nan
2013,5,17,nan
2013,5,20,nan
2013,5,21,nan
2013,5,22,nan
2013,5,23,nan
2013,5,24,nan
2013,5,28,nan
2013,5,29,nan
2013,5,30,nan
2013,5,31,nan
2013,6,3,nan
2013,6,4,nan
2013,6,5,nan
2013,6,6,nan
2013,6,7,nan
2013,6,10,nan
2013,6,11,nan
2013,6,12,nan
2013,6,13,nan
2013,6,14,nan
2013,6,17,nan
2013,6,18,nan
2013,6,19,nan
2013,6,20,nan
2013,6,21,nan
2013,6,24,nan
2013,6,25,nan
2013,6,26,nan
2013,6,27,nan
2013,6,28,nan
2013,7,1,nan
2013,7,2,nan
2013,7,3,nan
2013,7,5,nan
2013,7,8,nan
2013,7,9,nan
2013,7,10,nan
2013,7,11,nan
2013,7,12,nan
2013,7,15,nan
2013,7,16,nan
2013,7,17,nan
2013,7,18,nan
2013,7,19,nan
2013,7,22,nan
2013,7,23,nan
2013,7,24,nan
2013,7,25,nan
2013,7,26,nan
2013,7,29,nan
2013,7,30,nan
2013,7,31,nan
2013,8,1,nan
2013,8,2,nan
2013,8,5,nan
2013,8,6,nan
2013,8,7,nan
2013,8,8,nan
2013,8,9,nan
2013,8,12,nan
2013,8,13,nan
2013,8,14,nan
2013,8,15,nan
2013,8,16,nan
2013,8,19,nan
2013,8,20,nan
2013,8,21,nan
2013,8,22,nan
2013,8,23,nan
2013,8,26,nan
2013,8,27,nan
2013,8,28,nan
2013,8,29,nan
2013,8,30,nan
2013,9,3,nan
2013,9,4,nan
2013,9,5,nan
2013,9,6,nan
2013,9,9,nan
2013,9,10,nan
2013,9,11,nan
2013,9,12,nan
2013,9,13,nan
2013,9,16,nan
2013,9,17,nan
2013,9,18,nan
2013,9,19,nan
2013,9,20,nan
2013,9,23,nan
2013,9,24,nan
2013,9,25,nan
2013,9,26,nan
2013,9,27,nan
2013,9,30,nan
2013,10,1,nan
2013,10,2,nan
2013,10,3,nan
2013,10,4,nan
2013,10,7,nan
2013,10,8,nan
2013,10,9,nan
2013,10,10,nan
2013,10,11,nan
2013,10,14,nan
2013,10,15,nan
2013,10,16,nan
2013,10,17,nan
2013,10,18,nan
2013,10,21,nan
2013,10,22,nan
2013,10,23,nan
2013,10,24,nan
2013,10,25,nan
2013,10,28,nan
2013,10,29,nan
2013,10,30,nan
2013,10,31,nan
2013,11,1,nan
2013,11,4,nan
2013,11,5,nan
2013,11,6,nan
2013,11,7,nan
2013,11,8,nan
2013,11,11,nan
2013,11,12,nan
2013,11,13,nan
2013,11,14,nan
2013,11,15,nan
2013,11,18,nan
2013,11,19,nan
2013,11,20,nan
2013,11,21,nan
2013,11,22,nan
2013,11,25,nan
2013,11,26,nan
2013,11,27,nan
2013,11,29,nan
2013,12,2,nan
2013,12,3,nan
2013,12,4,nan
2013,12,5,nan
2013,12,6,nan
2013,12,9,nan
2013,12,10,nan
2013,12,11,nan
2013,12,12,nan
2013,12,13,nan
2013,12,16,nan
2013,12,17,nan
2013,12,18,nan
2013,12,19,nan
2013,12,20,nan
2013,12,23,nan
2013,12,24,nan
2013,12,26,nan
2013,12,27,nan
2013,12,30,nan
2013,12,31,nan
